#INT	STRING	INT	INT	INT	INT	INT	INT	STRING
#索引	基地类型	占领花费的钱	空闲多少秒后开始恢复怪的生命	恢复生命速度(怪maxhp*x%/10分钟)	空闲多少秒后开始升级怪	升级速度 每x小时升1级	升级速度倍率 x*怪级别	怪id列 多选一
1	住宿服务	1000	600	20	600	1	1	1#2#3
2	风景名胜	1001	601	21	601	2	2	4#5#6
3	商务住宅	1002	602	22	602	3	3	6#7#8
4	政府机构及社会团体	1003	603	23	603	4	4	3#4#5
5	科教文化服务	1004	604	24	604	5	5	4#5#6#7#8
6	交通设施服务	1005	605	25	605	6	5	1#2#3#4
7	金融保险服务	1006	606	26	606	7	5	1#2#3#4
8	公司企业	1007	607	27	607	8	5	5#6#7#8
9	道路附属设施	1008	608	28	608	9	5	3#4#5#6#
10	地名地址信息	1009	609	29	609	10	5	7#8
11	公共设施	1010	610	30	610	11	5	6#7#8
12	汽车服务	1011	611	31	611	12	5	1#2#3
13	汽车销售	1012	612	32	612	13	5	5#6#7#8
14	汽车维修	1013	613	33	613	14	5	4#5#6#7#8
15	摩托车服务	1014	614	34	614	15	5	5#6#7#8
16	餐饮服务	1015	615	35	615	16	5	1#2
17	购物服务	1016	616	36	616	17	5	1#2#3#4
18	生活服务	1017	617	37	617	18	5	1#2#3#4#5#6#7#8
19	体育休闲服务	1018	618	38	618	19	5	1#2#3#4#7#8
20	医疗保健服务	1019	619	39	619	20	5	1#2#3#6#7#8
